10,2,5.0,1383451269048
672,9999,5.0,1383451269049
673,111111,4.0,1383451269050
672,1029,1.0,1383451269051
673,77777,1.0,1383451269054
673,88888,3.0,1383451269055
673,1061,2.0,1383451269056
672,1129,1.0,1383451269057
673,1172,2.0,1383451269077
672,1263,1.0,1383451269078
673,77777,3.0,1383451269079
672,1287,4.0,1383451269080
673,99998,3.0,1383451269081
20,2,5.0,1383451269088
20,100000,5.0,1383451269088
20,2000,5.0,1383451269088
20,300000,5.0,1383451269088
20,99999999,5.0,1383451269088
20,2222222,5.0,1383451269088
20,245677,5.0,1383451269088
20,234569,5.0,1383451269088
20,89897778,5.0,1383451269088
20,9090909,5.0,1383451269088

